"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/aosp-dexutils/src/main/java/com/tencent/tinker/android/dex/Dex.java","call function: 162:46-162:70","call in function: Dex@127-178","callee=java.io.FileInputStream.<init>","basic block: 162:46-162:70"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/aosp-dexutils/src/main/java/com/tencent/tinker/android/dex/Dex.java","call function: 206:44-206:71","call in function: writeTo@203-219","callee=java.io.FileOutputStream.<init>","basic block: 206:44-206:71"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/aosp-dexutils/src/main/java/com/tencent/tinker/android/dex/util/FileUtils.java","call function: 42:21-42:38","call in function: readFile@41-44","callee=java.io.File.<init>","basic block: 42:21-42:38"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/aosp-dexutils/src/main/java/com/tencent/tinker/android/dex/util/FileUtils.java","call function: 55:14-55:26","call in function: readFile@54-94","callee=java.io.File.exists","basic block: 55:14-55:26"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/aosp-dexutils/src/main/java/com/tencent/tinker/android/dex/util/FileUtils.java","call function: 77:42-77:66","call in function: readFile@54-94","callee=java.io.FileInputStream.<init>","basic block: 77:42-77:66"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSDiff.java","call function: 445:62-445:89","call in function: bsdiff@444-454","callee=java.io.FileInputStream.<init>","basic block: 445:62-445:89"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSDiff.java","call function: 446:62-446:89","call in function: bsdiff@444-454","callee=java.io.FileInputStream.<init>","basic block: 446:62-446:89"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSDiff.java","call function: 447:41-447:70","call in function: bsdiff@444-454","callee=java.io.FileOutputStream.<init>","basic block: 447:41-447:70"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSDiff.java","call function: 696:30-696:85","call in function: main@695-700","callee=java.io.File.<init>","basic block: 696:30-696:85"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSDiff.java","call function: 697:30-697:85","call in function: main@695-700","callee=java.io.File.<init>","basic block: 697:30-697:85"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSDiff.java","call function: 698:31-698:87","call in function: main@695-700","callee=java.io.File.<init>","basic block: 698:31-698:87"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSPatch.java","call function: 87:39-87:67","call in function: patchLessMemory@75-94","callee=java.io.FileInputStream.<init>","basic block: 87:39-87:67"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSPatch.java","call function: 139:34-139:62","call in function: patchLessMemory@101-209","callee=java.io.FileOutputStream.<init>","basic block: 139:34-139:62"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSPatch.java","call function: 227:62-227:89","call in function: patchFast@216-245","callee=java.io.FileInputStream.<init>","basic block: 227:62-227:89"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSPatch.java","call function: 229:39-229:67","call in function: patchFast@216-245","callee=java.io.FileInputStream.<init>","basic block: 229:39-229:67"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSPatch.java","call function: 238:40-238:68","call in function: patchFast@216-245","callee=java.io.FileOutputStream.<init>","basic block: 238:40-238:68"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/bsdiff-util/src/main/java/com/tencent/tinker/bsdiff/BSPatch.java","call function: 268:40-268:68","call in function: patchFast@252-275","callee=java.io.FileOutputStream.<init>","basic block: 268:40-268:68"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/tinker-ziputils/src/main/java/com/tencent/tinker/ziputils/ziputil/TinkerZipFile.java","call function: 117:14-117:27","call in function: TinkerZipFile@116-118","callee=java.io.File.<init>","basic block: 117:14-117:27"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/tinker-ziputils/src/main/java/com/tencent/tinker/ziputils/ziputil/TinkerZipFile.java","call function: 138:13-138:46","call in function: TinkerZipFile@131-146","callee=java.io.File.deleteOnExit","basic block: 138:13-138:46"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/tinker-ziputils/src/main/java/com/tencent/tinker/ziputils/ziputil/TinkerZipFile.java","call function: 142:15-142:49","call in function: TinkerZipFile@131-146","callee=java.io.RandomAccessFile.<init>","basic block: 142:15-142:49"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/tinker-ziputils/src/main/java/com/tencent/tinker/ziputils/ziputil/TinkerZipUtil.java","call function: 58:42-58:69","call in function: extractLargeModifyFile@49-71","callee=java.io.FileInputStream.<init>","basic block: 58:42-58:69"
"Path: /home/sixsquare/codeQL/projects/tinker/third-party/tinker-ziputils/src/main/java/com/tencent/tinker/ziputils/ziputil/TinkerZipUtil.java","call function: 79:40-79:67","call in function: validateZipEntryName@73-84","callee=java.io.File.<init>","basic block: 79:40-79:67"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/listener/DefaultPatchListener.java","call function: 43:79-43:92","call in function: checkPackageAndRunPatchService@41-45","callee=java.io.File.<init>","basic block: 43:79-43:92"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/tinker/Tinker.java","call function: 272:60-272:76","call in function: cleanPatchByPatchApk@271-277","callee=java.io.File.exists","basic block: 272:60-272:76"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/tinker/TinkerLoadResult.java","call function: 109:41-109:100","call in function: parseTinkerResult@75-344","callee=java.io.File.<init>","basic block: 109:41-109:100"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/tinker/TinkerLoadResult.java","call function: 110:36-110:140","call in function: parseTinkerResult@75-344","callee=java.io.File.<init>","basic block: 110:36-110:140"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/tinker/TinkerLoadResult.java","call function: 111:32-111:87","call in function: parseTinkerResult@75-344","callee=java.io.File.<init>","basic block: 111:32-111:87"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/tinker/TinkerLoadResult.java","call function: 112:36-112:90","call in function: parseTinkerResult@75-344","callee=java.io.File.<init>","basic block: 112:36-112:90"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/tinker/TinkerLoadResult.java","call function: 113:37-113:92","call in function: parseTinkerResult@75-344","callee=java.io.File.<init>","basic block: 113:37-113:92"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/tinker/TinkerLoadResult.java","call function: 114:32-114:83","call in function: parseTinkerResult@75-344","callee=java.io.File.<init>","basic block: 114:32-114:83"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/tinker/TinkerLoadResult.java","call function: 209:65-209:81","call in function: parseTinkerResult@75-344","callee=java.io.File.<init>","basic block: 209:65-209:81"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/tinker/TinkerLoadResult.java","call function: 225:65-225:84","call in function: parseTinkerResult@75-344","callee=java.io.File.<init>","basic block: 225:65-225:84"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/tinker/TinkerLoadResult.java","call function: 256:65-256:81","call in function: parseTinkerResult@75-344","callee=java.io.File.<init>","basic block: 256:65-256:81"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib-no-op/src/main/java/com/tencent/tinker/lib/tinker/TinkerLoadResult.java","call function: 276:68-276:89","call in function: parseTinkerResult@75-344","callee=java.io.File.<init>","basic block: 276:68-276:89"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ArkHotDiffPatchInternal.java","call function: 69:38-69:62","call in function: extractArkHotLibrary@47-94","callee=java.io.File.<init>","basic block: 69:38-69:62"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ArkHotDiffPatchInternal.java","call function: 70:21-70:42","call in function: extractArkHotLibrary@47-94","callee=java.io.File.exists","basic block: 70:21-70:42"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ArkHotDiffPatchInternal.java","call function: 77:21-77:58","call in function: extractArkHotLibrary@47-94","callee=java.io.File.mkdirs","basic block: 77:21-77:58"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/BasePatchInternal.java","call function: 68:21-68:38","call in function: extract@57-106","callee=java.io.File.exists","basic block: 68:21-68:38"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/BasePatchInternal.java","call function: 72:47-72:77","call in function: extract@57-106","callee=java.io.FileOutputStream.<init>","basic block: 72:47-72:77"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/BasePatchInternal.java","call function: 99:30-99:47","call in function: extract@57-106","callee=java.io.File.exists","basic block: 99:30-99:47"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 181:25-181:37","call in function: patchDexExtractViaDexDiff@171-203","callee=java.io.File.<init>","basic block: 181:25-181:37"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 229:27-229:80","call in function: checkClassNDexFiles@205-254","callee=java.io.File.<init>","basic block: 229:27-229:80"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 214:28-214:64","call in function: checkClassNDexFiles@205-254","callee=java.io.File.<init>","basic block: 214:28-214:64"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 231:13-231:31","call in function: checkClassNDexFiles@205-254","callee=java.io.File.exists","basic block: 231:13-231:31"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 271:27-271:80","call in function: mergeClassNDexFiles@265-358","callee=java.io.File.<init>","basic block: 271:27-271:80"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 282:17-282:35","call in function: mergeClassNDexFiles@265-358","callee=java.io.File.exists","basic block: 282:17-282:35"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 285:71-285:102","call in function: mergeClassNDexFiles@265-358","callee=java.io.FileOutputStream.<init>","basic block: 285:71-285:102"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 318:54-318:81","call in function: mergeClassNDexFiles@265-358","callee=java.io.FileInputStream.<init>","basic block: 318:54-318:81"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 368:45-368:74","call in function: dexOptimizeDexFiles@360-439","callee=java.io.File.<init>","basic block: 368:45-368:74"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 370:18-370:50","call in function: dexOptimizeDexFiles@360-439","callee=java.io.File.exists","basic block: 370:18-370:50"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 370:56-370:88","call in function: dexOptimizeDexFiles@360-439","callee=java.io.File.mkdirs","basic block: 370:56-370:88"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 377:30-377:53","call in function: dexOptimizeDexFiles@360-439","callee=java.io.File.<init>","basic block: 377:30-377:53"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 410:32-410:53","call in function: onSuccess@407-415","callee=java.io.File.exists","basic block: 410:32-410:53"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 472:26-472:38","call in function: extractDexDiffInternals@462-632","callee=java.io.File.<init>","basic block: 472:26-472:38"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 473:14-473:31","call in function: extractDexDiffInternals@462-632","callee=java.io.File.exists","basic block: 473:14-473:31"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 474:13-474:30","call in function: extractDexDiffInternals@462-632","callee=java.io.File.mkdirs","basic block: 474:13-474:30"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 521:38-521:66","call in function: extractDexDiffInternals@462-632","callee=java.io.File.<init>","basic block: 521:38-521:66"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 524:21-524:42","call in function: extractDexDiffInternals@462-632","callee=java.io.File.exists","basic block: 524:21-524:42"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 534:21-534:58","call in function: extractDexDiffInternals@462-632","callee=java.io.File.mkdirs","basic block: 534:21-534:58"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 655:21-655:38","call in function: extractDexToJar@644-691","callee=java.io.File.exists","basic block: 655:21-655:38"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 659:42-659:72","call in function: extractDexToJar@644-691","callee=java.io.FileOutputStream.<init>","basic block: 659:42-659:72"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 685:30-685:47","call in function: extractDexToJar@644-691","callee=java.io.File.exists","basic block: 685:30-685:47"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 743:25-743:47","call in function: patchDexFile@727-778","callee=java.io.File.exists","basic block: 743:25-743:47"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/DexDiffPatchInternal.java","call function: 746:72-746:107","call in function: patchDexFile@727-778","callee=java.io.FileOutputStream.<init>","basic block: 746:72-746:107"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ResDiffPatchInternal.java","call function: 99:26-99:38","call in function: extractResourceDiffInternals@88-245","callee=java.io.File.<init>","basic block: 99:26-99:38"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ResDiffPatchInternal.java","call function: 101:37-101:67","call in function: extractResourceDiffInternals@88-245","callee=java.io.File.<init>","basic block: 101:37-101:67"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ResDiffPatchInternal.java","call function: 103:26-103:69","call in function: extractResourceDiffInternals@88-245","callee=java.io.File.<init>","basic block: 103:26-103:69"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ResDiffPatchInternal.java","call function: 105:13-105:30","call in function: extractResourceDiffInternals@88-245","callee=java.io.File.exists","basic block: 105:13-105:30"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ResDiffPatchInternal.java","call function: 115:13-115:46","call in function: extractResourceDiffInternals@88-245","callee=java.io.File.mkdirs","basic block: 115:13-115:46"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ResDiffPatchInternal.java","call function: 137:21-137:38","call in function: extractResourceDiffInternals@88-245","callee=java.io.File.exists","basic block: 137:21-137:38"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ResDiffPatchInternal.java","call function: 140:74-140:104","call in function: extractResourceDiffInternals@88-245","callee=java.io.FileOutputStream.<init>","basic block: 140:74-140:104"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ResDiffPatchInternal.java","call function: 257:29-257:72","call in function: checkAndExtractResourceLargeFile@247-359","callee=java.io.File.<init>","basic block: 257:29-257:72"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ResDiffPatchInternal.java","call function: 280:33-280:63","call in function: checkAndExtractResourceLargeFile@247-359","callee=java.io.File.<init>","basic block: 280:33-280:63"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/ResDiffPatchInternal.java","call function: 310:38-310:68","call in function: checkAndExtractResourceLargeFile@247-359","callee=java.io.File.<init>","basic block: 310:38-310:68"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/SoDiffPatchInternal.java","call function: 85:26-85:38","call in function: extractBsDiffInternals@74-212","callee=java.io.File.<init>","basic block: 85:26-85:38"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/SoDiffPatchInternal.java","call function: 86:14-86:31","call in function: extractBsDiffInternals@74-212","callee=java.io.File.exists","basic block: 86:14-86:31"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/SoDiffPatchInternal.java","call function: 87:13-87:30","call in function: extractBsDiffInternals@74-212","callee=java.io.File.mkdirs","basic block: 87:13-87:30"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/SoDiffPatchInternal.java","call function: 124:38-124:59","call in function: extractBsDiffInternals@74-212","callee=java.io.File.<init>","basic block: 124:38-124:59"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/SoDiffPatchInternal.java","call function: 127:21-127:42","call in function: extractBsDiffInternals@74-212","callee=java.io.File.exists","basic block: 127:21-127:42"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/patch/SoDiffPatchInternal.java","call function: 137:21-137:58","call in function: extractBsDiffInternals@74-212","callee=java.io.File.mkdirs","basic block: 137:21-137:58"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/service/TinkerPatchService.java","call function: 156:44-156:114","call in function: isRunning@131-161","callee=java.io.File.<init>","basic block: 156:44-156:114"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/service/TinkerPatchService.java","call function: 157:20-157:45","call in function: isRunning@131-161","callee=java.io.File.exists","basic block: 157:20-157:45"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/service/TinkerPatchService.java","call function: 165:40-166:80","call in function: markRunning@163-188","callee=java.io.File.<init>","basic block: 165:40-166:80"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/service/TinkerPatchService.java","call function: 167:13-167:38","call in function: markRunning@163-188","callee=java.io.File.exists","basic block: 167:13-167:38"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/service/TinkerPatchService.java","call function: 171:13-171:37","call in function: markRunning@163-188","callee=java.io.File.exists","basic block: 171:13-171:37"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/service/TinkerPatchService.java","call function: 179:13-179:37","call in function: markRunning@163-188","callee=java.io.File.mkdirs","basic block: 179:13-179:37"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/service/TinkerPatchService.java","call function: 182:18-182:50","call in function: markRunning@163-188","callee=java.io.File.createNewFile","basic block: 182:18-182:50"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/service/TinkerPatchService.java","call function: 192:40-193:80","call in function: unmarkRunning@190-197","callee=java.io.File.<init>","basic block: 192:40-193:80"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/service/TinkerPatchService.java","call function: 194:13-194:38","call in function: unmarkRunning@190-197","callee=java.io.File.exists","basic block: 194:13-194:38"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-lib/src/main/java/com/tencent/tinker/lib/service/TinkerPatchService.java","call function: 224:30-224:43","call in function: doApplyPatch@201-264","callee=java.io.File.<init>","basic block: 224:30-224:43"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/ShareElfFile.java","call function: 47:15-47:39","call in function: ShareElfFile@46-80","callee=java.io.FileInputStream.<init>","basic block: 47:15-47:39"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/ShareElfFile.java","call function: 92:18-92:42","call in function: getFileTypeByMagic@88-110","callee=java.io.FileInputStream.<init>","basic block: 92:18-92:42"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/ShareFileLockHelper.java","call function: 36:24-36:53","call in function: ShareFileLockHelper@35-69","callee=java.io.FileOutputStream.<init>","basic block: 36:24-36:53"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 60:16-60:57","call in function: getPatchDirectory@52-61","callee=java.io.File.<init>","basic block: 60:16-60:57"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 70:16-70:90","call in function: getPatchTempDirectory@63-71","callee=java.io.File.<init>","basic block: 70:16-70:90"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 78:16-78:76","call in function: getPatchLastCrashFile@73-79","callee=java.io.File.<init>","basic block: 78:16-78:76"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 82:16-82:78","call in function: getPatchInfoFile@81-83","callee=java.io.File.<init>","basic block: 82:16-82:78"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 86:16-86:83","call in function: getPatchInfoLockFile@85-87","callee=java.io.File.<init>","basic block: 86:16-86:83"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 120:59-120:88","call in function: checkTinkerLastUncaughtCrash@112-135","callee=java.io.FileInputStream.<init>","basic block: 120:59-120:88"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 167:32-167:44","call in function: isLegalFile@166-168","callee=java.io.File.exists","basic block: 167:32-167:44"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 189:40-189:52","call in function: shouldAcceptEvenIfIllegal@179-192","callee=java.io.File.exists","basic block: 189:40-189:52"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 201:35-201:52","call in function: getFileOrDirectorySize@200-219","callee=java.io.File.exists","basic block: 201:35-201:52"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 226:13-226:25","call in function: safeDeleteFile@221-237","callee=java.io.File.exists","basic block: 226:13-226:25"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 232:17-232:35","call in function: safeDeleteFile@221-237","callee=java.io.File.deleteOnExit","basic block: 232:17-232:35"
"Path: /home/sixsquare/codeQL/projects/tinker/tinker-android/tinker-android-loader-no-op/src/main/java/com/tencent/tinker/loader/shareutil/SharePatchFileUtil.java","call function: 243:26-243:38","call in function: deleteDir@239-245","callee=java.io.File.<init>","basic block: 243:26-243:38"
