"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-genetic/src/main/java/com/baeldung/algorithms/ga/ant_colony/AntColonyOptimization.java","call function: 27:29-27:40","call in function: <obinit>@10-10","callee=java.util.Random.<init>","basic block: 27:29-27:40"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-genetic/src/main/java/com/baeldung/algorithms/ga/ant_colony/AntColonyOptimization.java","call function: 53:61-53:79","call in function: accept@53-53","callee=java.util.Random.nextInt","basic block: 53:61-53:79"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-genetic/src/main/java/com/baeldung/algorithms/ga/ant_colony/AntColonyOptimization.java","call function: 93:39-93:68","call in function: accept@91-94","callee=java.util.Random.nextInt","basic block: 93:39-93:68"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-genetic/src/main/java/com/baeldung/algorithms/ga/ant_colony/AntColonyOptimization.java","call function: 114:17-114:61","call in function: selectNextCity@113-134","callee=java.util.Random.nextInt","basic block: 114:17-114:61"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-miscellaneous-2/src/main/java/com/baeldung/algorithms/maze/solver/MazeDriver.java","call function: 8:22-8:66","call in function: main@7-13","callee=java.io.File.<init>","basic block: 8:22-8:66"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-miscellaneous-2/src/main/java/com/baeldung/algorithms/maze/solver/MazeDriver.java","call function: 9:22-9:66","call in function: main@7-13","callee=java.io.File.<init>","basic block: 9:22-9:66"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-miscellaneous-4/src/main/java/com/baeldung/algorithms/multiswarm/Multiswarm.java","call function: 32:26-32:37","call in function: <obinit>@12-12","callee=java.util.Random.<init>","basic block: 32:26-32:37"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-miscellaneous-4/src/main/java/com/baeldung/algorithms/multiswarm/Swarm.java","call function: 32:26-32:37","call in function: <obinit>@12-12","callee=java.util.Random.<init>","basic block: 32:26-32:37"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-miscellaneous-4/src/main/java/com/baeldung/algorithms/multiswarm/Swarm.java","call function: 43:39-43:84","call in function: Swarm@40-49","callee=java.util.Random.nextInt","basic block: 43:39-43:84"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-miscellaneous-4/src/main/java/com/baeldung/algorithms/multiswarm/Swarm.java","call function: 44:6-44:51","call in function: Swarm@40-49","callee=java.util.Random.nextInt","basic block: 44:6-44:51"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-miscellaneous-4/src/main/java/com/baeldung/algorithms/multiswarm/Swarm.java","call function: 45:36-45:81","call in function: Swarm@40-49","callee=java.util.Random.nextInt","basic block: 45:36-45:81"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-miscellaneous-4/src/main/java/com/baeldung/algorithms/multiswarm/Swarm.java","call function: 46:6-46:51","call in function: Swarm@40-49","callee=java.util.Random.nextInt","basic block: 46:6-46:51"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-miscellaneous-6/src/main/java/com/baeldung/algorithms/play2048/Computer.java","call function: 12:38-12:55","call in function: <obinit>@9-9","callee=java.security.SecureRandom.<init>","basic block: 12:38-12:55"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-miscellaneous-6/src/main/java/com/baeldung/algorithms/play2048/Computer.java","call function: 21:28-21:57","call in function: makeMove@14-26","callee=java.util.Random.nextInt","basic block: 21:28-21:57"
"Path: /home/sixsquare/codeQL/projects/tutorials/algorithms-modules/algorithms-miscellaneous-7/src/test/java/com/baeldung/algorithms/pixelarray/GetPixelArrayUnitTest.java","call function: 20:40-20:92","call in function: givenImage_whenGetPixelArray_thenBothMethodsReturnEqualValues@17-29","callee=java.io.File.<init>","basic block: 20:40-20:92"
